Date,Time,NY-15,Scada
02-06-2021,15:15:00,0.0,-336.0
02-06-2021,15:30:00,0.0,-341.08
02-06-2021,15:45:00,0.0,-345.65
02-06-2021,16:00:00,0.0,-341.69
02-06-2021,16:15:00,0.0,-337.85
02-06-2021,16:30:00,0.0,-329.14
02-06-2021,16:45:00,0.0,-330.12
02-06-2021,17:00:00,0.0,-333.73
02-06-2021,17:15:00,0.0,-349.36
02-06-2021,17:30:00,0.0,-359.94
02-06-2021,17:45:00,0.0,-360.32
02-06-2021,18:00:00,0.0,-364.41
02-06-2021,18:15:00,0.0,-370.59
02-06-2021,18:30:00,0.0,-343.48
02-06-2021,18:45:00,0.0,-316.49
02-06-2021,19:00:00,0.0,-295.81
02-06-2021,19:15:00,0.0,-309.08
02-06-2021,19:30:00,0.0,-320.6
02-06-2021,19:45:00,0.0,-337.42
02-06-2021,20:00:00,0.0,-353.87
02-06-2021,20:15:00,0.0,-361.36
02-06-2021,20:30:00,0.0,-370.49
02-06-2021,20:45:00,0.0,-361.17
02-06-2021,21:00:00,0.0,-371.38
02-06-2021,21:15:00,0.0,-354.14
02-06-2021,21:30:00,0.0,-365.79
02-06-2021,21:45:00,0.0,-374.63
02-06-2021,22:00:00,0.0,-363.34
02-06-2021,22:15:00,0.0,-341.22
02-06-2021,22:30:00,0.0,-337.82
02-06-2021,22:45:00,0.0,-330.97
02-06-2021,23:00:00,0.0,-329.93
02-06-2021,23:15:00,0.0,-327.2
02-06-2021,23:30:00,0.0,-353.27
02-06-2021,23:45:00,0.0,-374.57
03-06-2021,00:00:00,0.0,-377.97
03-06-2021,00:15:00,0.0,-369.79
03-06-2021,00:30:00,0.0,-376.79
03-06-2021,00:45:00,0.0,-375.47
03-06-2021,01:00:00,0.0,-376.04
03-06-2021,01:15:00,0.0,-375.91
03-06-2021,01:30:00,0.0,-369.51
03-06-2021,01:45:00,0.0,-359.78
03-06-2021,02:00:00,0.0,-350.42
03-06-2021,02:15:00,0.0,-340.26
03-06-2021,02:30:00,0.0,-344.37
03-06-2021,02:45:00,0.0,-342.97
03-06-2021,03:00:00,0.0,-347.87
03-06-2021,03:15:00,0.0,-345.02
03-06-2021,03:30:00,0.0,-348.3
03-06-2021,03:45:00,0.0,-362.1
03-06-2021,04:00:00,0.0,-364.14
03-06-2021,04:15:00,0.0,-370.53
03-06-2021,04:30:00,0.0,-367.12
03-06-2021,04:45:00,0.0,-365.44
03-06-2021,05:00:00,0.0,-336.02
03-06-2021,05:15:00,0.0,-303.28
03-06-2021,05:30:00,0.0,-293.08
03-06-2021,05:45:00,0.0,-262.59
03-06-2021,06:00:00,0.0,-216.66
03-06-2021,06:15:00,0.0,-197.22
03-06-2021,06:30:00,0.0,-205.2
03-06-2021,06:45:00,0.0,-200.04
03-06-2021,07:00:00,0.0,-183.39
03-06-2021,07:15:00,0.0,-171.98
03-06-2021,07:30:00,0.0,-187.17
03-06-2021,07:45:00,0.0,-195.67
03-06-2021,08:00:00,0.0,-202.34
03-06-2021,08:15:00,0.0,-224.6
03-06-2021,08:30:00,0.0,-241.38
03-06-2021,08:45:00,0.0,-276.28
03-06-2021,09:00:00,0.0,-308.14
03-06-2021,09:15:00,0.0,-319.11
03-06-2021,09:30:00,0.0,-327.25
03-06-2021,09:45:00,0.0,-354.65
03-06-2021,10:00:00,0.0,-362.38
03-06-2021,10:15:00,0.0,-375.48
03-06-2021,10:30:00,0.0,-379.71
03-06-2021,10:45:00,0.0,-396.36
03-06-2021,11:00:00,0.0,-398.21
03-06-2021,11:15:00,0.0,-400.82
03-06-2021,11:30:00,0.0,-410.9
03-06-2021,11:45:00,0.0,-411.09
03-06-2021,12:00:00,0.0,-411.09
03-06-2021,12:15:00,0.0,-433.55
03-06-2021,12:30:00,0.0,-434.83
03-06-2021,12:45:00,0.0,-420.42
03-06-2021,13:00:00,0.0,-402.11
03-06-2021,13:15:00,0.0,-401.69
03-06-2021,13:30:00,0.0,-340.64
03-06-2021,13:45:00,0.0,-342.98
03-06-2021,14:00:00,0.0,-345.08
03-06-2021,14:15:00,0.0,-354.51
03-06-2021,14:30:00,0.0,-328.43
03-06-2021,14:45:00,0.0,-314.93
03-06-2021,15:00:00,0.0,-298.34
03-06-2021,15:15:00,0.0,-300.51
03-06-2021,15:30:00,0.0,-313.88
03-06-2021,15:45:00,0.0,-317.17
03-06-2021,16:00:00,0.0,-303.24
03-06-2021,16:15:00,0.0,-280.19
03-06-2021,16:30:00,0.0,-279.58
03-06-2021,16:45:00,0.0,-285.94
03-06-2021,17:00:00,0.0,-283.48
03-06-2021,17:15:00,0.0,-286.59
03-06-2021,17:30:00,0.0,-290.3
03-06-2021,17:45:00,0.0,-285.11
03-06-2021,18:00:00,0.0,-284.39
03-06-2021,18:15:00,0.0,-284.15
03-06-2021,18:30:00,0.0,-278.32
03-06-2021,18:45:00,0.0,-266.87
03-06-2021,19:00:00,0.0,-289.28
03-06-2021,19:15:00,0.0,-310.89
03-06-2021,19:30:00,0.0,-311.97
03-06-2021,19:45:00,0.0,-327.99
03-06-2021,20:00:00,0.0,-353.23
03-06-2021,20:15:00,0.0,-347.15
03-06-2021,20:30:00,0.0,-348.56
03-06-2021,20:45:00,0.0,-350.68
03-06-2021,21:00:00,0.0,-370.79
03-06-2021,21:15:00,0.0,-373.71
03-06-2021,21:30:00,0.0,-387.08
03-06-2021,21:45:00,0.0,-394.56
03-06-2021,22:00:00,0.0,-389.46
03-06-2021,22:15:00,0.0,-371.65
03-06-2021,22:30:00,0.0,-369.33
03-06-2021,22:45:00,0.0,-352.18
03-06-2021,23:00:00,0.0,-355.59
03-06-2021,23:15:00,0.0,-355.7
03-06-2021,23:30:00,0.0,-358.02
03-06-2021,23:45:00,0.0,-379.7
04-06-2021,00:00:00,0.0,-381.01
04-06-2021,00:15:00,0.0,-402.19
04-06-2021,00:30:00,0.0,-393.75
04-06-2021,00:45:00,0.0,-395.75
04-06-2021,01:00:00,0.0,-388.8
04-06-2021,01:15:00,0.0,-404.32
04-06-2021,01:30:00,0.0,-411.95
04-06-2021,01:45:00,0.0,-396.22
04-06-2021,02:00:00,0.0,-396.29
04-06-2021,02:15:00,0.0,-395.61
04-06-2021,02:30:00,0.0,-399.8
04-06-2021,02:45:00,0.0,-390.04
04-06-2021,03:00:00,0.0,-398.13
04-06-2021,03:15:00,0.0,-391.65
04-06-2021,03:30:00,0.0,-398.85
04-06-2021,03:45:00,0.0,-394.09
04-06-2021,04:00:00,0.0,-397.62
04-06-2021,04:15:00,0.0,-392.62
04-06-2021,04:30:00,0.0,-398.83
04-06-2021,04:45:00,0.0,-396.33
04-06-2021,05:00:00,0.0,-365.15
04-06-2021,05:15:00,0.0,-335.31
04-06-2021,05:30:00,0.0,-308.48
04-06-2021,05:45:00,0.0,-282.88
04-06-2021,06:00:00,0.0,-227.09
04-06-2021,06:15:00,0.0,-180.12
04-06-2021,06:30:00,0.0,-177.47
04-06-2021,06:45:00,0.0,-191.24
