Date,Time,NU-06,Scada
04-06-2021,06:00:00,0.0,34.15
04-06-2021,06:15:00,0.0,29.74
04-06-2021,06:30:00,0.0,27.15
04-06-2021,06:45:00,0.0,24.97
04-06-2021,07:00:00,0.0,24.4
04-06-2021,07:15:00,0.0,23.74
04-06-2021,07:30:00,0.0,24.63
04-06-2021,07:45:00,0.0,25.09
04-06-2021,08:00:00,0.0,26.81
04-06-2021,08:15:00,0.0,30.81
04-06-2021,08:30:00,0.0,36.52
04-06-2021,08:45:00,0.0,41.36
04-06-2021,09:00:00,0.0,44.18
04-06-2021,09:15:00,0.0,49.58
04-06-2021,09:30:00,0.0,53.04
04-06-2021,09:45:00,0.0,57.46
04-06-2021,10:00:00,0.0,61.68
04-06-2021,10:15:00,0.0,64.7
04-06-2021,10:30:00,0.0,64.45
04-06-2021,10:45:00,0.0,65.46
04-06-2021,11:00:00,0.0,64.77
04-06-2021,11:15:00,0.0,62.38
04-06-2021,11:30:00,0.0,60.59
04-06-2021,11:45:00,0.0,61.11
04-06-2021,12:00:00,0.0,64.63
04-06-2021,12:15:00,0.0,63.87
04-06-2021,12:30:00,0.0,63.25
04-06-2021,12:45:00,0.0,60.97
04-06-2021,13:00:00,0.0,60.85
04-06-2021,13:15:00,0.0,60.5
04-06-2021,13:30:00,0.0,58.42
04-06-2021,13:45:00,0.0,56.72
04-06-2021,14:00:00,0.0,54.25
04-06-2021,14:15:00,0.0,49.18
04-06-2021,14:30:00,0.0,47.61
04-06-2021,14:45:00,0.0,46.18
04-06-2021,15:00:00,0.0,45.13
04-06-2021,15:15:00,0.0,44.93
04-06-2021,15:30:00,0.0,43.96
04-06-2021,15:45:00,0.0,46.54
04-06-2021,16:00:00,0.0,44.55
04-06-2021,16:15:00,0.0,42.51
04-06-2021,16:30:00,0.0,42.25
04-06-2021,16:45:00,0.0,40.88
04-06-2021,17:00:00,0.0,39.97
04-06-2021,17:15:00,0.0,40.84
04-06-2021,17:30:00,0.0,42.51
04-06-2021,17:45:00,0.0,40.46
04-06-2021,18:00:00,0.0,37.24
04-06-2021,18:15:00,0.0,37.72
04-06-2021,18:30:00,0.0,32.62
04-06-2021,18:45:00,0.0,32.77
04-06-2021,19:00:00,0.0,37.7
04-06-2021,19:15:00,0.0,40.05
04-06-2021,19:30:00,0.0,41.43
04-06-2021,19:45:00,0.0,44.03
04-06-2021,20:00:00,0.0,43.76
04-06-2021,20:15:00,0.0,41.74
04-06-2021,20:30:00,0.0,37.76
04-06-2021,20:45:00,0.0,33.63
04-06-2021,21:00:00,0.0,36.75
04-06-2021,21:15:00,0.0,39.27
04-06-2021,21:30:00,0.0,41.03
04-06-2021,21:45:00,0.0,43.27
04-06-2021,22:00:00,0.0,47.86
04-06-2021,22:15:00,0.0,50.38
04-06-2021,22:30:00,0.0,52.03
04-06-2021,22:45:00,0.0,51.84
04-06-2021,23:00:00,0.0,51.05
04-06-2021,23:15:00,0.0,51.85
04-06-2021,23:30:00,0.0,51.69
04-06-2021,23:45:00,0.0,51.42
05-06-2021,00:00:00,0.0,51.55
05-06-2021,00:15:00,0.0,52.02
05-06-2021,00:30:00,0.0,51.61
05-06-2021,00:45:00,0.0,51.43
05-06-2021,01:00:00,0.0,51.47
05-06-2021,01:15:00,0.0,51.55
05-06-2021,01:30:00,0.0,50.97
05-06-2021,01:45:00,0.0,50.49
05-06-2021,02:00:00,0.0,50.13
05-06-2021,02:15:00,0.0,49.31
05-06-2021,02:30:00,0.0,48.68
05-06-2021,02:45:00,0.0,47.75
05-06-2021,03:00:00,0.0,47.51
05-06-2021,03:15:00,0.0,46.58
05-06-2021,03:30:00,0.0,46.41
05-06-2021,03:45:00,0.0,45.65
05-06-2021,04:00:00,0.0,45.53
05-06-2021,04:15:00,0.0,45.66
05-06-2021,04:30:00,0.0,45.62
05-06-2021,04:45:00,0.0,45.49
05-06-2021,05:00:00,0.0,43.12
05-06-2021,05:15:00,0.0,40.39
05-06-2021,05:30:00,0.0,38.09
05-06-2021,05:45:00,0.0,36.09
05-06-2021,06:00:00,0.0,31.95
05-06-2021,06:15:00,0.0,27.17
05-06-2021,06:30:00,0.0,24.7
05-06-2021,06:45:00,0.0,23.01
05-06-2021,07:00:00,0.0,22.07
05-06-2021,07:15:00,0.0,23.16
05-06-2021,07:30:00,0.0,24.31
05-06-2021,07:45:00,0.0,24.5
05-06-2021,08:00:00,0.0,25.82
05-06-2021,08:15:00,0.0,29.86
05-06-2021,08:30:00,0.0,32.76
05-06-2021,08:45:00,0.0,37.23
05-06-2021,09:00:00,0.0,41.18
05-06-2021,09:15:00,0.0,46.34
05-06-2021,09:30:00,0.0,49.95
05-06-2021,09:45:00,0.0,50.64
05-06-2021,10:00:00,0.0,52.55
05-06-2021,10:15:00,0.0,56.78
05-06-2021,10:30:00,0.0,57.32
05-06-2021,10:45:00,0.0,60.17
05-06-2021,11:00:00,0.0,59.38
05-06-2021,11:15:00,0.0,60.76
05-06-2021,11:30:00,0.0,61.74
05-06-2021,11:45:00,0.0,61.84
05-06-2021,12:00:00,0.0,62.43
05-06-2021,12:15:00,0.0,62.95
05-06-2021,12:30:00,0.0,62.74
05-06-2021,12:45:00,0.0,62.46
05-06-2021,13:00:00,0.0,61.33
05-06-2021,13:15:00,0.0,60.39
05-06-2021,13:30:00,0.0,60.47
05-06-2021,13:45:00,0.0,60.23
05-06-2021,14:00:00,0.0,57.41
05-06-2021,14:15:00,0.0,53.58
05-06-2021,14:30:00,0.0,52.74
05-06-2021,14:45:00,0.0,50.04
05-06-2021,15:00:00,0.0,48.76
05-06-2021,15:15:00,0.0,46.0
05-06-2021,15:30:00,0.0,45.32
05-06-2021,15:45:00,0.0,44.72
05-06-2021,16:00:00,0.0,41.26
05-06-2021,16:15:00,0.0,38.81
05-06-2021,16:30:00,0.0,37.11
05-06-2021,16:45:00,0.0,34.61
05-06-2021,17:00:00,0.0,33.79
